"STATISTIC","Statistic Label","TLIST(M1)","Month","C02583V03135","NACE Group","UNIT","VALUE"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","45","Motor trades (45)","Base 2015=100","176.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","89.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","4719","Department stores (4719)","Base 2015=100","80"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","4730","Retail sale of automotive fuel (4730)","Base 2015=100","85.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","79.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","105"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","5630","Bars (5630)","Base 2015=100","70.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","V3970","All retail businesses","Base 2015=100","109.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","163.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","85.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1320","All retail businesses, excluding motor trades","Base 2015=100","84.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","85.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","89.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","81.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","82.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","94.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","89.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","72.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","73.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","73.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","73.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201501","2015 January","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","84.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","45","Motor trades (45)","Base 2015=100","145.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","91.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","4719","Department stores (4719)","Base 2015=100","73.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","4730","Retail sale of automotive fuel (4730)","Base 2015=100","96.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","85"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","121.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","5630","Bars (5630)","Base 2015=100","81.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","V3970","All retail businesses","Base 2015=100","103.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","138.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","88.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1320","All retail businesses, excluding motor trades","Base 2015=100","88"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","87.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","91.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","84.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","87.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","99"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","77"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","72.2"
